5.028962135788748837e-03,1.630406620683573504e-01,3.153013481828179088e-01
3.141993015586806437e-01,4.605561025488044136e-01,5.940341971778672070e-01
5.931925725426768770e-01,7.135303773768660873e-01,8.151096581282460951e-01
8.146114380581590542e-01,8.970873163393415783e-01,9.567513380204615281e-01
9.566460196979721387e-01,9.931036406309491360e-01,1.004923338359850815e+00
1.005222017371472321e+00,9.919981441812352196e-01,9.547208756985080536e-01
9.553950829794055633e-01,8.936873943074196136e-01,8.108689157676890469e-01
8.118533293293576092e-01,7.076126584514028650e-01,5.872782007422584494e-01
5.884769710331045900e-01,4.518335936178610734e-01,3.057003131745495428e-01
3.069964139929532987e-01,1.512756109354100320e-01,-6.388243847166825452e-03
-5.121695931964487247e-03,-1.646987791652155808e-01,-3.184668961940954612e-01
-3.173537857436857790e-01,-4.651588411705963599e-01,-5.999565965193638384e-01
-5.991070203308541675e-01,-7.206325971836566868e-01,-8.232124930427451304e-01
-8.227092732226083394e-01,-9.059957593010512511e-01,-9.662469310532298961e-01
-9.661387609439325841e-01,-1.002958441813829316e+00,-1.014888435451054560e+00
-1.015196123868825628e+00,-1.001816895610456504e+00,-9.641518768536823103e-01
-9.648266700555672148e-01,-9.025101613458103023e-01,-8.188928571260791767e-01
-8.198793710957396064e-01,-7.146476308237459385e-01,-5.931157011127030643e-01
-5.943450415351173577e-01,-4.562665887228687378e-01,-3.085967980414430767e-01
-3.099183674616345918e-01,-1.525671311317228496e-01,6.643569973901107539e-03
